query_id,query_text,run_name,param_value,rank,dist,chunk_id,chunk_text,relevance
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,1,0.23490220622516378,06d97495-b768-4e2a-82d5-66ed3c7d1e31,"Topic: ThemeObject
Section: Usage

To customize theme, pass theme override object to [MantineProvider](https://mantine.dev/theming/mantine-provider/) `theme` prop.
Theme override will be deeply merged with the default theme.  
```tsx
import { createTheme, MantineProvider } from '@mantine/core';

const theme = createTheme({
colors: {
// Add your color
deepBlue: [
'#eef3ff',
'#dce4f5',
'#b9c7e2',
'#94a8d0',
'#748dc1',
'#5f7cb8',
'#5474b4',
'#44639f',
'#39588f',
'#2d4b81',
],
// or replace default theme color
blue: [
'#eef3ff',
'#dee2f2',
'#bdc2de',
'#98a0ca',
'#7a84ba',
'#6672b0',
'#5c68ac',
'#4c5897',
'#424e88',
'#364379',
],
},

shadows: {
md: '1px 1px 3px rgba(0, 0, 0, .25)',
xl: '5px 5px 3px rgba(0, 0, 0, .25)',
},

headings: {
fontFamily: 'Roboto, sans-serif',
sizes: {
h1: { fontSize: '36px' },
},
},
});

function Demo() {
return (
<MantineProvider theme={theme}>
{/* Your app here */}
</MantineProvider>
);
}
```",3
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,2,0.2425041600355432,a73b35a1-5e03-4501-819e-647c6ec354ff,"Topic: MantineProvider
Section: theme

Pass [theme object](https://mantine.dev/theming/theme-object) override to `theme` prop. It will be merged with the default
theme and used in all components.  
```tsx
import { createTheme, MantineProvider } from '@mantine/core';

const theme = createTheme({
fontFamily: 'Open Sans, sans-serif',
primaryColor: 'cyan',
});

function Demo() {
return (
<MantineProvider theme={theme}>
{/* Your app here */}
</MantineProvider>
);
}
```",2
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,3,0.2503577936947803,94658c3e-118f-4f05-a352-9edaec5611c7,"Topic: ThemeObject
Section: Access theme outside of components

To access theme outside of components, you need to create a full theme object
(your theme override merged with the default theme).  
```tsx
// theme.ts
import {
createTheme,
DEFAULT_THEME,
mergeMantineTheme,
} from '@mantine/core';

const themeOverride = createTheme({
primaryColor: 'orange',
defaultRadius: 0,
});

export const theme = mergeMantineTheme(DEFAULT_THEME, themeOverride);
```  
Then you will be able to import it anywhere in your application:  
```tsx
import { theme } from './theme';
```",1
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,4,0.2560495925691735,f1657aa4-ce58-4252-ae82-6c26bfa8e1ef,"Topic: MantineProvider
Section: Usage

```tsx
import { createTheme, MantineProvider } from '@mantine/core';

const theme = createTheme({
/** Your theme override here */
});

function Demo() {
return (
<MantineProvider theme={theme}>
{/* Your app here */}
</MantineProvider>
);
}
```",2
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,5,0.2673097403764827,efb6c05b-4345-4354-a145-871e5bb6bf6f,"Topic: GlobalStyles
Section: Add global styles in your application

It is recommended to use [CSS modules](https://mantine.dev/styles/css-modules) to apply styles to Mantine components
with `className` prop or with [Styles API](https://mantine.dev/styles/styles-api). CSS modules files names usually
end with `.module.css`, if you want to add global styles to your application, create a file with
`.css` extension but without `.module` part, for example `global.css`.  
In global `.css` files you can reference all Mantine [CSS variables](https://mantine.dev/styles/css-variables) and
change styles of `<body />`, `:root` and other elements. For example, to change body background-color:  
```css
body {
background-color: var(--mantine-color-red-filled);
}
```",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,6,0.26743902657815555,fb79f741-6566-428e-b662-0b85e34376ff,"Topic: ThemeObject
Section: Store theme override object in a variable

To store theme override object in a variable, use `createTheme` function:  
```tsx
import { createTheme, MantineProvider } from '@mantine/core';

const myTheme = createTheme({
primaryColor: 'orange',
defaultRadius: 0,
});

function Demo() {
return (
<MantineProvider theme={myTheme}>
{/* Your app here */}
</MantineProvider>
);
}
```",2
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,7,0.2733403529709939,cae49f74-7c18-4f1d-9566-887a28b609d7,"Topic: Storybook
Section: Theme object

To shared [theme object](https://mantine.dev/theming/theme-object) between your application and Storybook, create
`src/theme.ts` (or any other path in your application) file with your theme override:  
```tsx
// src/theme.ts
import { createTheme } from '@mantine/core';

export const theme = createTheme({
fontFamily: 'serif',
// ... other theme override properties
});
```  
Then you will be able to use the same theme both in your application and Storybook:  
```tsx
// In your application

import { MantineProvider } from '@mantine/core';
import { theme } from './theme';

function App() {
return <MantineProvider theme={theme}>{/* ... */}</MantineProvider>;
}
```",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,8,0.284770395062802,2d9f0958-63d9-439c-ae88-91ce5e3af470,"Topic: MantineProvider
Section: MantineProvider props

`MantineProvider` supports the following props:  
```tsx
interface MantineProviderProps {
/** Theme override object */
theme?: MantineThemeOverride;

/** Used to retrieve/set color scheme value in external storage, by default uses `window.localStorage` */
colorSchemeManager?: MantineColorSchemeManager;

/** Default color scheme value used when `colorSchemeManager` cannot retrieve value from external storage, `light` by default */
defaultColorScheme?: MantineColorScheme;

/** Forces color scheme value, if set, MantineProvider ignores `colorSchemeManager` and `defaultColorScheme` */
forceColorScheme?: 'light' | 'dark';

/** CSS selector to which CSS variables should be added, by default variables are applied to `:root` and `:host` */
cssVariablesSelector?: string;

/** Determines whether theme CSS variables should be added to given `cssVariablesSelector`, `true` by default */
withCssVariables?: boolean;

/** Determines whether CSS variables should be deduplicated: if CSS variable has the same value as in default theme, it is not added in the runtime. `true` by default. */
deduplicateCssVariables?: boolean;

/** Function to resolve root element to set `data-mantine-color-scheme` attribute, must return undefined on server, `() => document.documentElement` by default */
getRootElement?: () => HTMLElement | undefined;

/** A prefix for components static classes (for example {selector}-Text-root), `mantine` by default */
classNamesPrefix?: string;

/** Function to generate nonce attribute added to all generated `<style />` tags */
getStyleNonce?: () => string;

/** Function to generate CSS variables based on theme object */
cssVariablesResolver?: CSSVariablesResolver;

/** Determines whether components should have static classes, for example, `mantine-Button-root`. `true` by default */
withStaticClasses?: boolean;",1
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,9,0.2856001494904251,67f8b975-7f51-47f3-9497-3075ae311f24,"Topic: GettingStarted
Section: Get started without framework

const theme = createTheme({
/** Put your mantine theme override here */
});

function Demo() {
return (
<MantineProvider theme={theme}>
{/* Your app here */}
</MantineProvider>
);
}
```  
If your application has server side rendering, add [ColorSchemeScript](https://mantine.dev/theming/color-schemes)
to the `<head />` of your application and spread `mantineHtmlProps` on the `<html />` element
to [avoid seeing a hydration warning](https://help.mantine.dev/q/color-scheme-hydration-warning):  
```tsx
import { ColorSchemeScript, mantineHtmlProps } from '@mantine/core';

function Demo() {
return (
<html lang=""en"" {...mantineHtmlProps}>
<head>
<meta charSet=""UTF-8"" />
<meta
name=""viewport""
content=""width=device-width, initial-scale=1.0""
/>
<title>My awesome app</title>

<ColorSchemeScript />
</head>
<body>{/* Your app here */}</body>
</html>
);
}
```  
All set! You can now use Mantine components in your application.",2
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,10,0.2859555120089796,46580bac-7ff9-4ace-8cec-03b216e9e904,"Topic: DefaultProps
Section: Default props with MantineThemeProvider

You can also use `MantineThemeProvider` to define default props
for a part of your application:  
```tsx
import {
Button,
createTheme,
MantineThemeProvider,
} from '@mantine/core';

const theme = createTheme({
components: {
Button: Button.extend({
defaultProps: {
color: 'cyan',
variant: 'outline',
},
}),
},
});

function Demo() {
return (
<>
<MantineThemeProvider theme={theme}>
{/* Part of the app with theme */}
</MantineThemeProvider>

{/* Another part without theme */}
</>
);
}
```",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,11,0.2869877095512171,361a10e6-9d7d-483e-bade-a800172c5cc5,"Topic: ThemeObject
Section: Default theme

You can import default theme object from `@mantine/core` package. It includes
all theme properties with default values. When you pass theme override to
[MantineProvider](https://mantine.dev/theming/mantine-provider), it will be deeply merged with
the default theme.  
```tsx
import { DEFAULT_THEME } from '@mantine/core';
```",1
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,12,0.2878878481020598,fa3dde3d-e5f5-4a1a-97d1-295b085a28a8,"Topic: MantineProvider
Section: Overview

# MantineProvider  
`MantineProvider` provides a [theme object](https://mantine.dev/theming/theme-object) context value, manages color scheme
changes and injects [CSS variables](https://mantine.dev/styles/css-variables/). It must be rendered at the root of your
application and should be used only once.",1
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,13,0.2887177091623334,5bdf7d3f-7bf1-4a6b-9db6-f5a4140fcdd4,"Topic: General
Section: How can I customize colors with theme?

You can define custom colors in the [theme object](https://mantine.dev/theming/theme-object).  
```tsx
import { createTheme, MantineProvider } from '@mantine/core';

const theme = createTheme({
colors: {
sepia: [
'#F4ECD8',
'#EAD8B7',
'#DFC29A',
'#D4AC7E',
'#C99862',
'#BD8447',
'#B2702D',
'#A55C15',
'#924908',
'#7A3704',
],
},
});

function Demo() {
return (
<MantineProvider theme={theme}>
<App />
</MantineProvider>
);
}
```  
Then you can reference these values in components and `.css` files:  
```scss
body {
background-color: var(--mantine-color-sepia-0);
color: var(--mantine-color-sepia-9);
}
```",1
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,14,0.29298265932230383,2a46a3c1-fb44-431a-b007-e44b7c266107,"Topic: ColorSchemes
Section: Overview

# Color schemes  
[MantineProvider](https://mantine.dev/theming/mantine-provider/) manages color scheme context in your application.
You can configure the default color scheme value with `defaultColorScheme` prop, possible values are `light`,
`dark` and `auto` (system color scheme is used). The default value is `light`.  
```tsx
import { MantineProvider } from '@mantine/core';

function Demo() {
return (
<MantineProvider defaultColorScheme=""dark"">
{/* Your app here */}
</MantineProvider>
);
}
```",0
eval2_q001,How do I apply a global theme override so it affects Mantine components across my app?,hnsw_ef50_k15,50,15,0.2933505492081232,19866a8f-031f-4a2d-b69b-9426c7903438,"Topic: DefaultProps
Section: Overview

# Default props  
You can define default props for every Mantine component by setting `theme.components`.
These props will be used by default by all components of your application unless they are overridden by component props:  
#### Example: defaultProps  
```tsx
import { MantineProvider, Button, Group, createTheme } from '@mantine/core';

const theme = createTheme({
components: {
Button: Button.extend({
defaultProps: {
color: 'cyan',
variant: 'outline',
},
}),
},
});

function Demo() {
return (
<MantineProvider theme={theme}>
<Group>
<Button>Default button</Button>
<Button color=""red"" variant=""filled"">
Button with props
</Button>
</Group>
</MantineProvider>
);
}
```",1
eval2_q002,How can I set a global default border radius so most components use it automatically?,hnsw_ef50_k15,50,1,0.28736775741490794,4740c498-7641-4108-a6a5-2c5db7623db6,"Topic: ThemeObject
Section: defaultRadius

`theme.defaultRadius` controls the default `border-radius` property in most components, for example, [Button](https://mantine.dev/core/button) or [TextInput](https://mantine.dev/core/text-input).
You can set to either one of the values from `theme.radius` or a number/string to use exact value. Note that numbers are treated as pixels, but
converted to rem. For example, `theme.defaultRadius: 4` will be converted to `0.25rem`.
You can learn more about rem conversion in the [rem units guide](https://mantine.dev/styles/rem).  
#### Example: defaultRadiusConfigurator  
```tsx
import { MantineProvider, TextInput, Button } from '@mantine/core';

function Demo() {
return (
<MantineProvider theme={{ defaultRadius: '' }}>
<Button fullWidth>Button with defaultRadius</Button>
<TextInput mt=""sm"" label=""TextInput with defaultRadius"" placeholder=""TextInput with default radius"" />
</MantineProvider>
);
}
```",3
eval2_q002,How can I set a global default border radius so most components use it automatically?,hnsw_ef50_k15,50,2,0.31637970796765247,77a63a0c-0156-4aaf-a96a-da88546dfc3d,"Topic: CssVariables
Section: Border radius variables

Mantine components that support `radius` prop use border radius variables to control border radius.
The following CSS variables are defined based on `theme.radius`:  
<CssVariablesGroup
data={[
{
variable: '--mantine-radius-xs',
defaultValue: '0.125rem (2px)',
},
{
variable: '--mantine-radius-sm',
defaultValue: '0.25rem (4px)',
},
{
variable: '--mantine-radius-md',
defaultValue: '0.5rem (8px)',
},
{
variable: '--mantine-radius-lg',
defaultValue: '1rem (16px)',
},
{
variable: '--mantine-radius-xl',
defaultValue: '2rem (32px)',
},
]}
/>  
Additionally, `--mantine-radius-default` variable is defined based on `theme.defaultRadius`
value. If `radius` prop on components is not set explicitly, `--mantine-radius-default` is used instead.  
To define custom border radius values, use `theme.radius` and `theme.defaultRadius` properties:  
```tsx
import { createTheme } from '@mantine/core';

const theme = createTheme({
defaultRadius: 'sm',
radius: {
xs: '0.25rem',
sm: '0.5rem',
md: '1rem',
lg: '2rem',
xl: '3rem',
},
});
```",2
eval2_q002,How can I set a global default border radius so most components use it automatically?,hnsw_ef50_k15,50,3,0.3624163041960523,19866a8f-031f-4a2d-b69b-9426c7903438,"Topic: DefaultProps
Section: Overview

# Default props  
You can define default props for every Mantine component by setting `theme.components`.
These props will be used by default by all components of your application unless they are overridden by component props:  
#### Example: defaultProps  
```tsx
import { MantineProvider, Button, Group, createTheme } from '@mantine/core';

const theme = createTheme({
components: {
Button: Button.extend({
defaultProps: {
color: 'cyan',
variant: 'outline',
},
}),
},
});

function Demo() {
return (
<MantineProvider theme={theme}>
<Group>
<Button>Default button</Button>
<Button color=""red"" variant=""filled"">
Button with props
</Button>
</Group>
</MantineProvider>
);
}
```",0
eval2_q002,How can I set a global default border radius so most components use it automatically?,hnsw_ef50_k15,50,4,0.3675027353543976,52deeacc-817a-4c25-a3d3-85c1c2af2e2b,"Topic: GlobalStyles
Section: Body and :root elements styles

`@mantine/core` package includes the following `body` and `:root` elements styles:  
```css
:root {
color-scheme: var(--mantine-color-scheme);
}

body {
font-family: var(--mantine-font-family);
font-size: var(--mantine-font-size-md);
line-height: var(--mantine-line-height);
background-color: var(--mantine-color-body);
color: var(--mantine-color-text);

-webkit-font-smoothing: var(--mantine-webkit-font-smoothing);
-moz-osx-font-smoothing: var(--mantine-moz-font-smoothing);
}
```",0
eval2_q002,How can I set a global default border radius so most components use it automatically?,hnsw_ef50_k15,50,5,0.3732024521701235,8dfc7539-fa70-42e5-9a94-03a1748df654,"Topic: GlobalStyles
Section: CSS reset

`@mantine/core` package includes minimal CSS reset – it includes only basic styles required for components to work
in modern browsers. If you need to support older browsers, you can additionally include [normalize.css](https://necolas.github.io/normalize.css/)
or any other CSS reset of your choice.  
```css
body {
margin: 0;
}

*,
*::before,
*::after {
box-sizing: border-box;
}

input,
button,
textarea,
select {
font: inherit;
}

button,
select {
text-transform: none;
}
```",0
eval2_q002,How can I set a global default border radius so most components use it automatically?,hnsw_ef50_k15,50,6,0.3742983562178416,168081bb-33e5-4d59-8ea1-3e929608a2be,"Topic: ThemeObject
Section: defaultGradient

`theme.defaultGradient` controls the default gradient configuration for components that support `variant=""gradient""`
([Button](https://mantine.dev/core/button), [ActionIcon](https://mantine.dev/core/action-icon), [Badge](https://mantine.dev/core/badge), etc.).  
#### Example: defaultGradient  
```tsx
import { MantineProvider, createTheme, Button } from '@mantine/core';

const theme = createTheme({
defaultGradient: {
from: 'orange',
to: 'red',
deg: 45,
},
});

function Demo() {
return (
<MantineProvider theme={theme}>
<Button variant=""gradient"">Button with custom default gradient</Button>
</MantineProvider>
);
}
```",0
eval2_q002,How can I set a global default border radius so most components use it automatically?,hnsw_ef50_k15,50,7,0.37500008753453873,efb6c05b-4345-4354-a145-871e5bb6bf6f,"Topic: GlobalStyles
Section: Add global styles in your application

It is recommended to use [CSS modules](https://mantine.dev/styles/css-modules) to apply styles to Mantine components
with `className` prop or with [Styles API](https://mantine.dev/styles/styles-api). CSS modules files names usually
end with `.module.css`, if you want to add global styles to your application, create a file with
`.css` extension but without `.module` part, for example `global.css`.  
In global `.css` files you can reference all Mantine [CSS variables](https://mantine.dev/styles/css-variables) and
change styles of `<body />`, `:root` and other elements. For example, to change body background-color:  
```css
body {
background-color: var(--mantine-color-red-filled);
}
```",0
eval2_q002,How can I set a global default border radius so most components use it automatically?,hnsw_ef50_k15,50,8,0.3750232939575159,91e173e8-30fc-4879-a412-41c5afc4b6ea,"Topic: StyleProp
Section: Define CSS variables in style prop

You can define CSS variables in the style prop. Note that it only works with Mantine components:  
```tsx
import { Box } from '@mantine/core';

function Demo() {
return (
<Box
style={{ '--radius': '0.5rem', borderRadius: 'var(--radius)' }}
/>
);
}
```",0
eval2_q002,How can I set a global default border radius so most components use it automatically?,hnsw_ef50_k15,50,9,0.37613420286621624,5136ba5a-c0e6-4456-a6ae-7bea74b4d5fe,"Topic: Paper
Section: Polymorphic component

function Demo() {
return <Paper component=""button"" />;
}
```  
You can also use components in component prop, for example, Next.js Link:  
```tsx
import Link from 'next/link';
import { Paper } from '@mantine/core';

function Demo() {
return <Paper component={Link} href=""/"" />;
}
```  
**Polymorphic components with TypeScript**  
Note that polymorphic components props types are different from regular components – they do not extend HTML element props of the default element. For example, PaperProps does not extend React.ComponentPropsWithoutRef<'div'> although div is the default element.  
If you want to create a wrapper for a polymorphic component that is not polymorphic (does not support component prop), then your component props interface should extend HTML element props.  
#### Props  
| Prop | Type | Default | Description |
|------|------|---------|-------------|
| radius | MantineRadius | number | - | Key of <code>theme.radius</code> or any valid CSS value to set border-radius, numbers are converted to rem |
| shadow | MantineShadow | - | Key of <code>theme.shadows</code> or any valid CSS value to set <code>box-shadow</code> |
| withBorder | boolean | - | Adds border to the root element |  
#### Styles API  
Paper component supports Styles API. With Styles API, you can customize styles of any inner element. Follow the documentation to learn how to use CSS modules, CSS variables and inline styles to get full control over component styles.  
**Paper selectors**  
| Selector | Static selector | Description |
|----------|----------------|-------------|
| root | .mantine-Paper-root | Root element |  
**Paper CSS variables**  
| Selector | Variable | Description |
|----------|----------|-------------|
| root | --paper-radius | Controls `border-radius` |
| root | --paper-shadow | Controls `box-shadow` |  
**Paper data attributes**  
| Selector | Attribute | Condition | Value |
|----------|-----------|-----------|-------|
| root | data-with-border | - | - |",0
